# Summary:
# total steps taken: 108
# of which successful: 78
# of whichwkb: 17
# time, x, dx, wkb, Ai(-t)+i*Bi(-t)
6.7593607388661274271 (-47661.887422158884874,2892.1044557604327565) (65573.28651228833769,274919.0699787408812) 0 (-0.02488833101614544227,0.34892978379147310264) (-0.90854635026774910322,-0.051871884036558492392)
6.8225095945555267463 (-40851.186120911734179,18152.708288083558728) (143136.61747406318318,205512.55298297468107) 0 (0.032562444726960029784,0.34748398591753509868) (-0.90687801783286059454,0.097790501694068804328)
6.8895573495153223931 (-29709.138546058475185,29172.106987628420029) (182486.56797633317183,123285.14641341680544) 0 (0.092555029357783549782,0.33562858405385820326) (-0.87802430589486657464,0.2551977109760225626)
6.960938904423375817 (-16351.319577681779265,35051.239924332876399) (186372.7339615393721,43877.883782407574472) 0 (0.15323644967920385662,0.31162508443854236573) (-0.81706754101272915936,0.41563965268734925917)
7.0371953829015119197 (-2905.1757731439283816,35774.735049563314533) (162832.01202983877738,-21048.957354130594467) 0 (0.21201920121660933205,0.27383581843319027005) (-0.71923413889686915734,0.57239069111429441428)
7.1190809601944140539 (8835.1787527288342972,32074.028981315903366) (122561.27731682544982,-65048.156873878928309) 0 (0.26544757875472185793,0.22087506312450200241) (-0.58028506119068890001,0.7162973102074658982)
7.2076836686115370867 (17626.153965780908038,25176.095710705736565) (76355.521455141177285,-86761.411412578891031) 0 (0.30896826519635395281,0.15183360119243483055) (-0.39710793073247191431,0.83508757391193799702)
7.3046051455246443496 (22848.037113777736522,16524.370659630127193) (33212.454025505685422,-88843.564225350535708) 0 (0.33657372042918998201,0.066678124712946276742) (-0.16879080781582667115,0.9122971076241461752)
7.4123837143334476707 (24461.952351097355859,7527.0396456847793161) (-721.55980240323697217,-76448.733753281165264) 0 (0.34025987190406892235,-0.033075756158860519784) (0.10153538655284202741,0.92562054036589136441)
7.5358534169448212481 (22866.405630378500064,-648.0639961106771807) (-22410.858950588830339,-55610.894921206010622) 0 (0.30881136601534642239,-0.14334247187625798192) (0.40386190584789150027,0.84329578170369468015)
7.6748718344510491463 (18998.422267730758904,-6787.6661165590576275) (-31088.460140049544862,-33453.151991323116818) 0 (0.23168228537149043733,-0.24735090383295788019) (0.69301647838205182595,0.63402186165991747391)
7.816167356206999095 (14585.278677600403171,-10251.401053277775645) (-30313.752903394364694,-16638.277695303404471) 0 (0.1186365564194096639,-0.3158222190089587933) (0.88703122958333713299,0.32170282144409773073)
7.9574043456139706976 (10621.97636093885194,-11774.83974612286147) (-25458.887661537257372,-5844.8025248508292862) 0 (-0.012568929692164047818,-0.33563018684551487736) (0.94667235650467385089,-0.045991687661639552021)
8.0981156652143972963 (7444.7580091435484064,-12122.639964940366553) (-19708.745898312030477,262.06295774850968883) 0 (-0.14129269744724440305,-0.30308313683749282808) (0.85838723435119901328,-0.41153712559759214606)
8.2393329782222934909 (5041.8115621165616176,-11844.627748409651758) (-14473.818883886739059,3270.2304312233741257) 0 (-0.24792684842026621594,-0.22224870718990849539) (0.63061490927061791822,-0.718585094752293152)
8.380810315947643474 (3305.2552362999767865,-11286.006682837467451) (-10257.251342099680187,4394.8451478742672407) 0 (-0.31441429528748376931,-0.10520290195097410646) (0.29527464494063554445,-0.9135912106058972082)
8.5233087808830774179 (2082.4173051165289507,-10644.720467421260764) (-7072.2190388467333833,4485.5479432352876756) 0 (-0.32877458283756849644,0.030164863579262013449) (-0.097716492355680598103,-0.95920517577918340546)
8.6671390782111448203 (1240.4681765791642647,-10025.717643120482535) (-4770.3989603350228208,4069.3726068927744564) 0 (-0.28641362357153465901,0.16144031393337635039) (-0.48364354743387644175,-0.83875311885858649941)
